transaction_id,customer_id,transaction_date,amount,category,merchant,status
TXN_00000000,CUST_000860,2025-10-15 20:53:38.083979,789.44,Transportation,Merchant_0000,completed
TXN_00000001,CUST_003772,2025-12-21 20:53:38.083979,162.83,Transportation,Merchant_0001,completed
TXN_00000002,CUST_003092,2026-01-25 20:53:38.083979,8.51,Food,Merchant_0002,pending
TXN_00000003,CUST_000466,2026-01-27 20:53:38.083979,189.36,Entertainment,Merchant_0003,completed
TXN_00000004,CUST_004426,2026-03-17 20:53:38.083979,140.87,Transportation,Merchant_0004,completed
TXN_00000005,CUST_003444,2026-01-24 20:53:38.083979,178.62,Healthcare,Merchant_0005,pending
TXN_00000006,CUST_003171,2025-10-22 20:53:38.083979,250.86,Food,Merchant_0006,completed
TXN_00000007,CUST_002919,2025-10-08 20:53:38.083979,183.46,Shopping,Merchant_0007,completed
TXN_00000008,CUST_000130,2026-03-12 20:53:38.083979,27.94,Food,Merchant_0008,completed
TXN_00000009,CUST_001685,2025-11-01 20:53:38.083979,46.63,Shopping,Merchant_0009,completed
TXN_00000010,CUST_000769,2026-03-27 20:53:38.083979,31.01,Healthcare,Merchant_0010,completed
TXN_00000011,CUST_002391,2026-02-14 20:53:38.083979,185.36,Entertainment,Merchant_0011,completed
TXN_00000012,CUST_002433,2026-03-15 20:53:38.083979,77.08,Healthcare,Merchant_0012,completed
TXN_00000013,CUST_001184,2026-03-25 20:53:38.083979,9.8,Entertainment,Merchant_0013,completed
TXN_00000014,CUST_004555,2026-03-13 20:53:38.083979,100.04,Transportation,Merchant_0014,completed
TXN_00000015,CUST_003385,2025-10-24 20:53:38.083979,89.3,Healthcare,Merchant_0015,completed
TXN_00000016,CUST_004117,2026-02-21 20:53:38.083979,124.03,Utilities,Merchant_0016,completed
TXN_00000017,CUST_004843,2025-11-11 20:53:38.083979,367.21,Utilities,Merchant_0017,completed
TXN_00000018,CUST_002904,2025-12-23 20:53:38.083979,247.92,Healthcare,Merchant_0018,completed
TXN_00000019,CUST_000474,2025-12-28 20:53:38.083979,213.42,Food,Merchant_0019,completed
TXN_00000020,CUST_001082,2026-01-14 20:53:38.083979,34.64,Entertainment,Merchant_0020,completed
TXN_00000021,CUST_002558,2025-10-07 20:53:38.083979,356.54,Transportation,Merchant_0021,completed
TXN_00000022,CUST_002047,2026-04-01 20:53:38.083979,68.63,Transportation,Merchant_0022,completed
TXN_00000023,CUST_002747,2025-11-01 20:53:38.083979,87.41,Transportation,Merchant_0023,pending
TXN_00000024,CUST_000975,2026-04-01 20:53:38.083979,5.09,Entertainment,Merchant_0024,completed
TXN_00000025,CUST_001806,2025-10-29 20:53:38.083979,158.07,Entertainment,Merchant_0025,completed
TXN_00000026,CUST_000189,2026-01-12 20:53:38.083979,429.86,Entertainment,Merchant_0026,pending
TXN_00000027,CUST_002734,2025-11-02 20:53:38.083979,44.94,Food,Merchant_0027,completed
TXN_00000028,CUST_003005,2025-11-30 20:53:38.083979,37.36,Healthcare,Merchant_0028,completed
TXN_00000029,CUST_004658,2025-11-08 20:53:38.083979,32.32,Shopping,Merchant_0029,completed
TXN_00000030,CUST_001899,2025-12-25 20:53:38.083979,55.04,Healthcare,Merchant_0030,completed
TXN_00000031,CUST_001267,2026-03-15 20:53:38.083979,204.62,Food,Merchant_0031,completed
TXN_00000032,CUST_001528,2025-10-28 20:53:38.083979,277.3,Utilities,Merchant_0032,completed
TXN_00000033,CUST_003202,2026-02-18 20:53:38.083979,197.62,Healthcare,Merchant_0033,pending
TXN_00000034,CUST_003556,2026-03-15 20:53:38.083979,55.42,Food,Merchant_0034,completed
TXN_00000035,CUST_003890,2025-12-08 20:53:38.083979,159.15,Food,Merchant_0035,completed
TXN_00000036,CUST_000646,2026-02-06 20:53:38.083979,138.88,Utilities,Merchant_0036,pending
TXN_00000037,CUST_002888,2025-10-24 20:53:38.083979,100.97,Utilities,Merchant_0037,completed
TXN_00000038,CUST_002435,2026-02-22 20:53:38.083979,109.75,Food,Merchant_0038,completed
TXN_00000039,CUST_000600,2025-10-09 20:53:38.083979,111.75,Entertainment,Merchant_0039,completed
TXN_00000040,CUST_002363,2026-03-26 20:53:38.083979,30.12,Entertainment,Merchant_0040,completed
TXN_00000041,CUST_002061,2026-02-02 20:53:38.083979,394.34,Transportation,Merchant_0041,completed
TXN_00000042,CUST_000241,2026-02-01 20:53:38.083979,165.93,Transportation,Merchant_0042,completed
TXN_00000043,CUST_002041,2026-03-03 20:53:38.083979,340.11,Shopping,Merchant_0043,completed
TXN_00000044,CUST_002824,2025-10-17 20:53:38.083979,54.82,Shopping,Merchant_0044,completed
TXN_00000045,CUST_002612,2026-02-28 20:53:38.083979,79.61,Transportation,Merchant_0045,completed
TXN_00000046,CUST_001363,2025-11-13 20:53:38.083979,62.74,Food,Merchant_0046,completed
TXN_00000047,CUST_001478,2025-12-19 20:53:38.083979,284.86,Food,Merchant_0047,completed
TXN_00000048,CUST_002556,2025-11-07 20:53:38.083979,133.36,Food,Merchant_0048,failed
TXN_00000049,CUST_000775,2026-03-21 20:53:38.083979,39.69,Shopping,Merchant_0049,completed
TXN_00000050,CUST_004014,2026-03-13 20:53:38.083979,106.53,Shopping,Merchant_0050,completed
TXN_00000051,CUST_000034,2025-11-01 20:53:38.083979,120.82,Utilities,Merchant_0051,completed
TXN_00000052,CUST_003152,2026-01-28 20:53:38.083979,290.38,Food,Merchant_0052,completed
TXN_00000053,CUST_001955,2026-03-23 20:53:38.083979,46.12,Healthcare,Merchant_0053,completed
TXN_00000054,CUST_001585,2025-11-01 20:53:38.083979,47.0,Transportation,Merchant_0054,completed
TXN_00000055,CUST_003943,2025-10-15 20:53:38.083979,23.16,Utilities,Merchant_0055,completed
TXN_00000056,CUST_003073,2026-03-05 20:53:38.083979,22.68,Shopping,Merchant_0056,completed
TXN_00000057,CUST_001021,2025-11-07 20:53:38.083979,16.15,Utilities,Merchant_0057,completed
TXN_00000058,CUST_003461,2026-03-08 20:53:38.083979,3.73,Utilities,Merchant_0058,completed
TXN_00000059,CUST_002613,2026-03-13 20:53:38.083979,37.77,Transportation,Merchant_0059,pending
TXN_00000060,CUST_003843,2026-03-09 20:53:38.083979,44.73,Food,Merchant_0060,completed
TXN_00000061,CUST_001500,2025-10-18 20:53:38.083979,126.56,Shopping,Merchant_0061,completed
TXN_00000062,CUST_004798,2026-03-30 20:53:38.083979,45.79,Healthcare,Merchant_0062,completed
TXN_00000063,CUST_000161,2025-12-02 20:53:38.083979,389.74,Healthcare,Merchant_0063,completed
TXN_00000064,CUST_004297,2025-11-21 20:53:38.083979,6.96,Transportation,Merchant_0064,completed
TXN_00000065,CUST_001981,2026-01-11 20:53:38.083979,83.22,Utilities,Merchant_0065,completed
TXN_00000066,CUST_000995,2025-11-21 20:53:38.083979,28.54,Transportation,Merchant_0066,pending
TXN_00000067,CUST_004911,2025-11-18 20:53:38.083979,6.82,Healthcare,Merchant_0067,pending
TXN_00000068,CUST_003342,2026-02-15 20:53:38.083979,72.13,Utilities,Merchant_0068,completed
TXN_00000069,CUST_004551,2026-01-15 20:53:38.083979,167.59,Entertainment,Merchant_0069,pending
TXN_00000070,CUST_003798,2025-10-11 20:53:38.083979,353.42,Healthcare,Merchant_0070,completed
TXN_00000071,CUST_001275,2026-01-03 20:53:38.083979,5.0,Shopping,Merchant_0071,completed
TXN_00000072,CUST_001016,2026-03-01 20:53:38.083979,246.23,Transportation,Merchant_0072,completed
TXN_00000073,CUST_000337,2025-10-14 20:53:38.083979,24.6,Food,Merchant_0073,completed
TXN_00000074,CUST_000878,2025-12-21 20:53:38.083979,71.15,Utilities,Merchant_0074,pending
TXN_00000075,CUST_001076,2025-11-09 20:53:38.083979,156.52,Food,Merchant_0075,completed
TXN_00000076,CUST_004887,2026-01-24 20:53:38.083979,49.3,Healthcare,Merchant_0076,completed
TXN_00000077,CUST_003993,2026-03-16 20:53:38.083979,361.12,Transportation,Merchant_0077,completed
TXN_00000078,CUST_004859,2025-11-01 20:53:38.083979,115.46,Transportation,Merchant_0078,completed
TXN_00000079,CUST_000379,2025-11-20 20:53:38.083979,147.07,Food,Merchant_0079,completed
TXN_00000080,CUST_000492,2026-03-27 20:53:38.083979,30.16,Healthcare,Merchant_0080,pending
TXN_00000081,CUST_002062,2026-02-22 20:53:38.083979,88.24,Utilities,Merchant_0081,completed
TXN_00000082,CUST_003884,2025-11-13 20:53:38.083979,0.24,Food,Merchant_0082,completed
TXN_00000083,CUST_000064,2026-02-12 20:53:38.083979,105.16,Food,Merchant_0083,completed
TXN_00000084,CUST_002568,2026-03-29 20:53:38.083979,102.65,Utilities,Merchant_0084,completed
TXN_00000085,CUST_002027,2026-01-13 20:53:38.083979,74.02,Entertainment,Merchant_0085,completed
TXN_00000086,CUST_002695,2026-02-10 20:53:38.083979,135.26,Shopping,Merchant_0086,pending
TXN_00000087,CUST_001495,2025-11-27 20:53:38.083979,207.55,Healthcare,Merchant_0087,failed
TXN_00000088,CUST_000391,2025-12-26 20:53:38.083979,8.49,Transportation,Merchant_0088,failed
TXN_00000089,CUST_004514,2025-10-11 20:53:38.083979,48.12,Food,Merchant_0089,completed
TXN_00000090,CUST_004474,2025-10-27 20:53:38.083979,24.51,Transportation,Merchant_0090,completed
TXN_00000091,CUST_003561,2026-02-03 20:53:38.083979,45.77,Entertainment,Merchant_0091,completed
TXN_00000092,CUST_002278,2026-02-21 20:53:38.083979,26.14,Food,Merchant_0092,pending
TXN_00000093,CUST_003099,2026-01-16 20:53:38.083979,243.07,Utilities,Merchant_0093,completed
TXN_00000094,CUST_000200,2025-11-14 20:53:38.083979,9.11,Utilities,Merchant_0094,completed
TXN_00000095,CUST_004875,2025-11-16 20:53:38.083979,19.99,Utilities,Merchant_0095,completed
